iter	Passed	Remaining
427	1740	2325
428	1744	2322
429	1748	2318
430	1754	2315
431	1758	2312
432	1762	2308
433	1767	2305
434	1771	2300
435	1776	2297
436	1779	2293
437	1783	2288
438	1788	2285
439	1792	2281
440	1796	2277
441	1800	2272
442	1804	2269
443	1808	2265
444	1812	2260
445	1816	2255
446	1822	2254
447	1826	2249
448	1829	2245
449	1833	2241
450	1838	2238
451	1843	2235
452	1848	2231
453	1852	2227
454	1857	2224
455	1861	2220
456	1865	2216
457	1868	2211
458	1872	2206
459	1875	2201
460	1879	2197
461	1883	2193
462	1887	2189
463	1891	2185
464	1896	2181
465	1900	2178
466	1904	2174
467	1909	2170
468	1912	2165
469	1917	2162
470	1921	2158
471	1925	2153
472	1928	2149
473	1933	2145
474	1937	2140
475	1941	2136
476	1945	2132
477	1949	2129
478	1953	2124
479	1958	2122
480	1963	2118
481	1967	2114
482	1971	2110
483	1976	2106
484	1981	2103
485	1985	2099
486	1988	2095
487	1993	2091
488	1997	2087
489	2001	2083
490	2005	2078
491	2009	2075
492	2014	2071
493	2017	2066
494	2022	2063
495	2027	2059
496	2030	2055
497	2033	2050
498	2036	2045
499	2040	2040
500	2043	2035
501	2046	2030
502	2050	2025
503	2053	2020
504	2057	2016
505	2060	2011
506	2063	2006
507	2066	2001
508	2069	1995
509	2073	1992
510	2076	1987
511	2079	1982
512	2082	1977
513	2086	1972
514	2090	1968
515	2093	1963
516	2096	1958
517	2099	1953
518	2103	1949
519	2106	1944
520	2109	1939
521	2112	1934
522	2116	1930
523	2119	1925
524	2122	1920
525	2126	1916
526	2129	1911
527	2132	1906
528	2136	1902
529	2139	1897
530	2144	1893
531	2147	1889
532	2152	1886
533	2156	1881
534	2159	1876
535	2164	1873
536	2168	1869
537	2171	1864
538	2174	1859
539	2178	1856
540	2182	1851
541	2186	1847
542	2189	1842
543	2192	1838
544	2195	1833
545	2199	1829
546	2202	1824
547	2206	1819
548	2209	1814
549	2212	1809
550	2215	1805
551	2218	1800
552	2221	1795
553	2224	1791
554	2228	1786
555	2232	1782
556	2235	1778
557	2238	1773
558	2241	1768
559	2247	1765
560	2250	1761
561	2254	1756
562	2257	1752
563	2262	1749
564	2266	1744
565	2269	1740
566	2272	1735
567	2276	1731
568	2279	1726
569	2282	1722
570	2285	1717
571	2289	1713
572	2293	1709
573	2296	1704
574	2299	1699
575	2302	1695
576	2306	1690
577	2309	1686
578	2312	1681
579	2316	1677
580	2319	1672
581	2322	1667
582	2326	1663
583	2329	1659
584	2332	1655
585	2336	1650
586	2339	1646
587	2343	1641
588	2346	1637
589	2349	1632
590	2352	1628
591	2356	1624
592	2359	1619
593	2363	1615
594	2367	1611
595	2371	1607
596	2374	1602
597	2377	1598
598	2381	1594
599	2385	1590
600	2388	1586
601	2392	1581
602	2395	1577
603	2398	1572
604	2402	1568
605	2405	1564
606	2408	1559
607	2412	1555
608	2416	1551
609	2421	1547
610	2425	1543
611	2429	1540
612	2433	1536
613	2437	1532
614	2441	1528
615	2445	1524
616	2450	1520
617	2453	1516
618	2457	1512
619	2461	1508
620	2466	1505
621	2470	1501
622	2474	1497
623	2478	1493
624	2483	1489
625	2486	1485
626	2490	1481
627	2495	1478
628	2499	1474
629	2503	1470
630	2507	1466
631	2512	1462
632	2516	1459
633	2520	1455
634	2524	1451
635	2528	1447
636	2532	1443
637	2536	1439
638	2540	1435
639	2545	1431
640	2548	1427
641	2552	1423
642	2556	1419
643	2561	1415
644	2564	1411
645	2570	1408
646	2574	1404
647	2578	1400
648	2580	1395
649	2584	1391
650	2587	1387
651	2591	1383
652	2594	1378
653	2597	1374
654	2601	1370
655	2604	1365
656	2607	1361
657	2610	1357
658	2614	1352
659	2617	1348
660	2620	1344
661	2624	1339
662	2627	1335
663	2630	1331
664	2633	1326
665	2637	1322
666	2641	1318
667	2644	1314
668	2647	1310
669	2651	1305
670	2655	1301
671	2658	1297
672	2661	1293
673	2665	1289
674	2668	1284
675	2671	1280
676	2675	1276
677	2678	1271
678	2681	1267
679	2685	1263
680	2688	1259
681	2691	1255
682	2694	1250
683	2697	1246
684	2701	1242
685	2705	1238
686	2708	1234
687	2712	1230
688	2715	1225
689	2719	1221
690	2722	1217
691	2726	1213
692	2730	1209
693	2734	1205
694	2739	1202
695	2743	1198
696	2747	1194
697	2751	1190
698	2756	1186
699	2759	1182
700	2766	1179
701	2770	1175
702	2774	1172
703	2779	1168
704	2783	1164
705	2788	1161
706	2792	1157
707	2797	1153
708	2802	1150
709	2806	1146
710	2810	1142
711	2814	1138
712	2819	1134
713	2823	1130
714	2827	1126
715	2832	1123
716	2836	1119
717	2840	1115
718	2845	1112
719	2850	1108
720	2854	1104
721	2858	1100
722	2862	1096
723	2867	1092
724	2871	1089
725	2874	1084
726	2878	1080
727	2882	1076
728	2885	1072
729	2888	1068
730	2892	1064
731	2895	1060
732	2898	1055
733	2901	1051
734	2905	1047
735	2908	1043
736	2912	1039
737	2915	1035
738	2918	1030
739	2921	1026
740	2925	1022
741	2929	1018
742	2932	1014
743	2935	1010
744	2938	1005
745	2942	1002
746	2946	997
747	2949	993
748	2952	989
749	2957	985
750	2960	981
751	2964	977
752	2967	973
753	2970	969
754	2974	965
755	2977	961
756	2981	957
757	2985	953
758	2988	948
759	2992	945
760	2995	940
761	2998	936
762	3002	932
763	3006	928
764	3009	924
765	3012	920
766	3016	916
767	3019	912
768	3023	908
769	3026	904
770	3030	900
771	3033	895
772	3037	891
773	3040	887
774	3043	883
775	3047	879
776	3050	875
777	3053	871
778	3057	867
779	3060	863
780	3063	859
781	3066	854
782	3070	850
783	3073	846
784	3077	842
785	3080	838
786	3084	834
787	3087	830
788	3090	826
789	3093	822
790	3097	818
791	3102	814
792	3105	810
793	3108	806
794	3111	802
795	3115	798
796	3118	794
797	3122	790
798	3125	786
799	3128	782
800	3132	778
801	3136	774
802	3139	770
803	3142	766
804	3146	762
805	3149	758
806	3154	754
807	3157	750
808	3160	746
809	3164	742
810	3168	738
811	3171	734
812	3174	730
813	3178	726
814	3181	722
815	3184	718
816	3188	714
817	3191	710
818	3195	706
819	3198	702
820	3201	698
821	3204	694
822	3208	690
823	3211	686
824	3215	682
825	3218	678
826	3221	674
827	3225	670
828	3229	666
829	3232	661
830	3235	657
831	3238	653
832	3242	650
833	3245	645
834	3248	642
835	3252	637
836	3255	633
837	3259	630
838	3262	626
839	3266	622
840	3271	618
841	3275	614
842	3279	610
843	3283	606
844	3288	603
845	3292	599
846	3296	595
847	3301	591
848	3306	587
849	3309	584
850	3314	580
851	3318	576
852	3323	572
853	3327	568
854	3331	565
855	3336	561
856	3340	557
857	3344	553
858	3348	549
859	3355	546
860	3360	542
861	3364	538
862	3369	534
863	3373	530
864	3378	527
865	3383	523
866	3387	519
867	3391	515
868	3395	511
869	3400	508
870	3405	504
871	3409	500
872	3414	496
873	3418	492
874	3421	488
875	3425	484
876	3428	480
877	3431	476
878	3434	472
879	3438	468
880	3441	464
881	3444	460
882	3448	456
883	3451	452
884	3454	448
885	3458	444
886	3462	441
887	3465	437
888	3468	433
889	3471	429
890	3475	425
891	3479	421
892	3482	417
893	3485	413
894	3489	409
895	3492	405
896	3496	401
897	3499	397
898	3502	393
899	3505	389
900	3509	385
901	3512	381
902	3515	377
903	3519	373
904	3522	369
905	3526	365
906	3529	361
907	3532	357
908	3536	353
909	3539	350
910	3542	346
911	3546	342
912	3548	338
913	3551	334
914	3557	330
915	3560	326
916	3564	322
917	3567	318
918	3572	314
919	3575	310
920	3579	307
921	3582	303
922	3587	299
923	3590	295
924	3594	291
925	3597	287
926	3601	283
927	3604	279
928	3607	275
929	3610	271
930	3614	267
931	3618	264
932	3621	260
933	3624	256
934	3628	252
935	3631	248
936	3635	244
937	3638	240
938	3642	236
939	3645	232
940	3649	228
941	3653	224
942	3656	220
943	3660	217
944	3664	213
945	3669	209
946	3673	205
947	3677	201
948	3682	197
949	3686	194
950	3690	190
951	3694	186
952	3700	182
