iter	RMSE
0	0.1987314584
1	0.1872139262
2	0.1765884676
3	0.1667455229
4	0.1575067081
5	0.1490001527
6	0.140917668
7	0.1336592836
8	0.1266575948
9	0.1201964524
10	0.1143045839
11	0.1088826964
12	0.1037193918
13	0.09910519744
14	0.09484930216
15	0.09094177842
16	0.08727036219
17	0.08390015537
18	0.0808052869
19	0.07798004675
20	0.07542916815
21	0.07316956275
22	0.07112603483
23	0.06924162199
24	0.06748958494
25	0.06590693343
26	0.06452664348
27	0.06329601769
28	0.0621971856
29	0.06119942134
30	0.06032955369
31	0.05952068267
32	0.05872521973
33	0.05807962376
34	0.05745173855
35	0.05691892645
36	0.05645713192
37	0.05603393242
38	0.05562540415
39	0.05528894437
40	0.05497371405
41	0.05470716998
42	0.0544492177
43	0.05424298288
44	0.05405024662
45	0.05385691074
46	0.05370647029
47	0.05355591063
48	0.05342744455
49	0.05330967372
50	0.05320989996
51	0.05310276749
52	0.05301502565
53	0.05294063464
54	0.05286679572
55	0.05281669445
56	0.05275832393
57	0.05270725914
58	0.05265649099
59	0.05261070914
60	0.05256884769
61	0.0525306802
62	0.05249684981
63	0.05246532775
64	0.05243576894
65	0.05240533099
66	0.05238200971
67	0.0523576246
68	0.0523357065
69	0.05231729064
70	0.05229410153
71	0.05227354261
72	0.05225643422
73	0.05224107431
74	0.05223080573
75	0.05221680988
76	0.0522004877
77	0.05218839881
78	0.05217504045
79	0.05216402723
80	0.05215042311
81	0.0521401134
82	0.05212615873
83	0.0521164887
84	0.05210809067
85	0.05210487043
86	0.05209237001
87	0.0520819446
88	0.05207379364
89	0.05206404134
90	0.05205538927
91	0.05204275524
92	0.05203594823
93	0.05203148796
94	0.05202316504
95	0.0520126668
96	0.05200345559
97	0.05199535783
98	0.05199328973
99	0.05197748033
100	0.05197202342
101	0.05196460555
102	0.05195279054
103	0.05195233218
104	0.05194606835
105	0.05193592209
106	0.05192360131
107	0.05192194864
108	0.0519131726
109	0.05190519236
110	0.05189734057
111	0.05189705266
112	0.05188311718
113	0.05187504057
114	0.05186723216
115	0.05186227364
116	0.05185736173
117	0.0518509439
118	0.0518439123
119	0.05183576663
120	0.05183064439
121	0.05182181593
122	0.05180773806
123	0.05180025722
124	0.05179149461
125	0.05177848408
126	0.05177323348
127	0.05176747447
128	0.05175949965
129	0.05174887919
130	0.05174060777
131	0.05173254753
132	0.05172382502
133	0.05171647526
134	0.05171425158
135	0.05170618642
136	0.05169557544
137	0.05168840987
138	0.05168418241
139	0.05167485485
140	0.05166928723
141	0.05166373203
142	0.05165670864
143	0.05165172751
144	0.05164770535
145	0.05163965077
146	0.05162898377
147	0.05161809831
148	0.0516153739
149	0.05160587452
150	0.05159823846
151	0.05159042412
152	0.05158255564
153	0.05157580325
154	0.05157216416
155	0.05155854264
156	0.05155317088
157	0.05154947515
158	0.05154354183
159	0.05153279427
160	0.05152369905
161	0.0515151811
162	0.05150208393
163	0.0514912231
164	0.05148116156
165	0.05147342791
166	0.05146833125
167	0.05146649253
168	0.05145945138
169	0.05145478789
170	0.05144939861
171	0.05144295427
172	0.05143583952
173	0.05142953733
174	0.05142032
175	0.05141239856
176	0.05140648118
177	0.05139928397
178	0.05139298207
179	0.05138688233
180	0.05137819323
181	0.0513706113
182	0.0513645203
183	0.05135474839
184	0.05134797663
185	0.05133986253
186	0.05133511825
187	0.05132715279
188	0.05131346032
189	0.05130970086
190	0.05130535007
191	0.05129748618
192	0.05128994484
193	0.05128308637
194	0.05127262243
195	0.05126276916
196	0.05125811492
197	0.05125700153
198	0.05125275863
199	0.05124450725
200	0.05123880032
201	0.05122903805
202	0.0512241096
203	0.05121886602
204	0.05121328989
205	0.05120224899
206	0.05119385704
207	0.05118288478
208	0.05117996218
209	0.05116960866
210	0.05116074639
211	0.05115768499
212	0.05115200708
213	0.05114384648
214	0.05113477606
215	0.05112981889
216	0.05112377177
217	0.05111203392
218	0.05110687723
219	0.05109936157
220	0.05109308985
221	0.05108968444
222	0.05108257394
223	0.05108073687
224	0.05106939852
225	0.0510580371
226	0.05104874314
227	0.05104390782
228	0.05103476656
229	0.05102614888
230	0.05101512407
231	0.05100733474
232	0.05100152256
233	0.05099367108
234	0.05098925861
235	0.05098300809
236	0.05097721425
237	0.05097280603
238	0.0509633621
239	0.05095894543
240	0.05095361957
241	0.05095094111
242	0.05094710428
243	0.05094025684
244	0.05093439611
245	0.0509301898
246	0.05092625068
247	0.05092254548
248	0.0509156237
249	0.05090804984
250	0.05090140519
251	0.05089539557
252	0.05089136662
253	0.05088532827
254	0.05088104667
255	0.05087695749
256	0.05087020812
257	0.05086119768
258	0.05085557425
259	0.0508492707
260	0.05083945334
261	0.05083260158
262	0.05083001649
263	0.05082183764
264	0.05081434538
265	0.05080934486
266	0.05080365164
267	0.0507977392
268	0.05079558957
269	0.05079321489
270	0.05079040149
271	0.05078798396
272	0.05078462212
273	0.05078180205
274	0.05077508106
275	0.05077168879
276	0.050766888
277	0.05076343379
278	0.05075579753
279	0.0507504699
280	0.0507455814
281	0.05074038185
282	0.05073554764
283	0.05072778057
284	0.05072338099
285	0.0507189742
286	0.05071415621
287	0.05071268995
288	0.05071078071
289	0.05070659097
290	0.05070512599
291	0.05069901226
292	0.05069296169
293	0.0506878578
294	0.05067900356
295	0.0506732817
296	0.0506691101
297	0.05066207779
298	0.05065734236
299	0.0506488208
300	0.05064443938
301	0.05063797044
302	0.05063018818
303	0.05062168794
304	0.0506162533
305	0.05060987372
306	0.05060319232
307	0.05059881453
308	0.05059568623
309	0.05058794068
310	0.05058436052
311	0.05057872999
312	0.0505732267
313	0.05056126836
314	0.0505506356
315	0.05054646205
316	0.05054287913
317	0.05053733895
318	0.05053209275
319	0.05052604977
320	0.05051986408
321	0.05051542123
322	0.05050679453
323	0.05049862769
324	0.05048731024
325	0.05047861001
326	0.05046756424
327	0.05046430151
328	0.05045904381
329	0.05045307659
330	0.05044965399
331	0.0504437185
332	0.05043752714
333	0.05043072684
334	0.05042253689
335	0.05041604391
336	0.0504122418
337	0.05041035081
338	0.05040597048
339	0.0503957286
340	0.05039398626
341	0.05038798479
342	0.05038522921
343	0.05038207413
344	0.0503769308
345	0.05036775445
346	0.05036183096
347	0.05035769653
348	0.05035444289
349	0.05035312292
350	0.05034610055
351	0.05034136931
352	0.05033591575
353	0.05033268851
354	0.05032803363
355	0.05032378927
356	0.05031733789
357	0.05031327491
358	0.05031030018
359	0.0503095098
360	0.05030660832
361	0.05029749893
362	0.05029462292
363	0.05029072722
364	0.05028219589
365	0.05027601351
366	0.05027255357
367	0.0502690009
368	0.05026389787
369	0.05025715107
370	0.05024681705
371	0.05024114753
372	0.05023506239
373	0.05022899421
374	0.05022441521
375	0.0502189295
376	0.05021127198
377	0.05020205217
378	0.05019468386
379	0.05018780566
380	0.05018141374
381	0.05017718937
382	0.0501733484
383	0.05017008194
384	0.05016651861
385	0.05015740742
386	0.05015214693
387	0.05014906795
388	0.05014748529
389	0.05014394217
390	0.0501380941
391	0.05013424439
392	0.0501310275
393	0.05012245649
394	0.05011787709
395	0.05011052995
396	0.05010541671
397	0.05009977695
398	0.05009436603
399	0.05009138326
400	0.05008604188
401	0.05008423093
402	0.05007705018
403	0.05007174234
404	0.05006812374
405	0.05006228371
406	0.05005687151
407	0.05005129511
408	0.0500422345
409	0.05003535586
410	0.05002890488
411	0.05002760955
412	0.05002305175
413	0.0500157827
414	0.05001415887
415	0.05000501015
416	0.05000056608
417	0.04999704524
418	0.04999437665
419	0.04999141151
420	0.0499861313
421	0.0499786602
422	0.04997476395
423	0.04997132687
424	0.0499641968
425	0.04995771749
426	0.049953999
427	0.04994811226
428	0.04994198676
429	0.04993537132
430	0.04992960099
431	0.04992470454
432	0.04992033633
433	0.04991678583
434	0.04991398578
435	0.04990943074
436	0.04990487355
437	0.04990097672
438	0.04989453276
439	0.04988559634
440	0.04988060855
441	0.04987500335
442	0.04986811405
443	0.04985849082
444	0.04985338279
445	0.04985158827
446	0.04984689876
447	0.04984241301
448	0.04983926396
449	0.04983731261
450	0.04983317008
451	0.04982892718
452	0.04982623105
453	0.04982242527
454	0.04982092631
455	0.04981716466
456	0.04981304167
457	0.04981137634
458	0.04980509859
459	0.04980229973
460	0.04979933447
461	0.04979587768
462	0.04978863492
463	0.04977800315
464	0.04977330142
465	0.04976702736
466	0.04976339336
467	0.04975990456
468	0.04975656787
469	0.04975355473
470	0.04975016188
471	0.04974703444
472	0.04974548776
473	0.04974354163
474	0.04974267559
475	0.04973789115
476	0.04973459898
477	0.04972811433
478	0.04972359944
479	0.04971920894
480	0.04971468238
481	0.04970942247
482	0.04970588146
483	0.04970001059
484	0.04969272717
485	0.04968695182
486	0.049684971
487	0.04968202035
488	0.04967963027
489	0.04967501266
490	0.04967377225
491	0.04967008376
492	0.04966829428
493	0.0496644928
494	0.04965946391
495	0.04965379256
496	0.04964987517
497	0.04964481272
498	0.0496405216
499	0.04963767277
500	0.04963603046
501	0.04963191759
502	0.0496253552
503	0.04962290335
504	0.04961534568
505	0.04961454312
506	0.04961197707
507	0.04960306263
508	0.04960196197
509	0.04959784957
510	0.04959282428
511	0.04958759562
512	0.04958151613
513	0.04957635037
514	0.04957183624
515	0.04956887771
516	0.04956294222
517	0.04955891669
518	0.04955153892
519	0.04954602327
520	0.04954200443
521	0.04953694591
522	0.04953204275
523	0.04952926838
524	0.04952488728
525	0.04952091527
526	0.04951365072
527	0.04951118255
528	0.04950828222
529	0.04950582132
530	0.04949963687
531	0.04949572858
532	0.04948946392
533	0.04948319129
534	0.04947803074
535	0.04947182392
536	0.04946448798
537	0.04945547442
538	0.04944988
539	0.04944866089
540	0.0494449568
541	0.04943931859
542	0.04943423231
543	0.04942975968
544	0.04942633347
545	0.04942229548
546	0.04941916546
547	0.04941608758
548	0.04940959953
549	0.04940466772
550	0.04940160044
551	0.04939694369
552	0.04939270875
553	0.04938926829
554	0.04937922288
555	0.04937402951
556	0.04937004893
557	0.04936660038
558	0.04936065708
559	0.04935795325
560	0.04935456791
561	0.04935292992
562	0.04934637548
563	0.04934219232
564	0.04933585142
565	0.04933295469
566	0.04932544242
567	0.04931997153
568	0.0493189768
569	0.04931625161
570	0.0493121076
571	0.04930785911
572	0.04930514111
573	0.04930050243
574	0.04929179472
575	0.04928796578
576	0.04928154626
577	0.04927839109
578	0.0492776384
579	0.04927343582
580	0.04926542906
581	0.04926121258
582	0.04926035842
583	0.0492539104
584	0.04925032878
585	0.04924785452
586	0.04924247216
587	0.04923840384
588	0.04923338299
589	0.04922962379
590	0.0492242662
591	0.04922217156
592	0.04921811469
593	0.04921179084
594	0.04920862221
595	0.0492070375
596	0.04920211528
597	0.04919389837
598	0.0491874501
599	0.04918301171
600	0.04917848401
601	0.04917526826
602	0.04916950034
603	0.04916629859
604	0.04915826139
605	0.04915224521
606	0.0491487324
607	0.04914452608
608	0.04914128329
609	0.0491338929
610	0.04912889537
611	0.04912174852
612	0.04911726339
613	0.04911132162
614	0.04910829302
615	0.04910268336
616	0.04909924033
617	0.04909340358
618	0.04908727305
619	0.04908242306
620	0.04907669469
